input,R,G,B
0.011764706,0.00955588,0.012699272,0.117903335
0.023529412,0.071488713,0.049277944,0.139381241
0.035294118,0.076904997,0.083829189,0.18722714
0.047058824,0.12155547,0.128717986,0.251272381
0.058823529,0.168660527,0.177637346,0.322874552
0.070588235,0.228812261,0.258262414,0.41165914
0.082352941,0.297105056,0.343315979,0.524469353
0.094117647,0.409661219,0.463819496,0.658522452
0.105882353,0.492701175,0.602750777,0.813319764
0.117647059,0.613708773,0.751987236,0.961407992
0.129411765,0.758187429,0.907158927,1.180717887
0.141176471,0.914366184,1.100615785,1.38431461
0.152941176,1.118183188,1.344029737,1.657247768
0.164705882,1.306707315,1.613395336,1.926567203
0.176470588,1.558852309,1.894128305,2.226756357
0.188235294,1.839488204,2.240017458,2.609921829
0.2,2.113188329,2.616125228,3.036564666
0.211764706,2.476234105,2.997663895,3.489878496
0.223529412,2.799190573,3.466832227,4.000038948
0.235294118,3.173525497,3.92977536,4.489877644
0.247058824,3.608004141,4.488145047,5.125849804
0.258823529,4.080242858,5.177384051,5.766426935
0.270588235,4.649914102,5.777236635,6.384476933
0.282352941,5.10711148,6.412884278,7.070093349
0.294117647,5.612418378,7.153431094,7.921730276
0.305882353,6.068435654,7.922195951,8.725690107
0.317647059,6.674502906,8.610089416,9.508412893
0.329411765,7.331010316,9.358569403,10.32958048
0.341176471,7.947740222,10.1658648,11.19313683
0.352941176,8.52677308,11.04581351,12.03938083
0.364705882,9.180595969,11.98804132,12.88697225
0.376470588,9.802854388,12.78927578,13.80959403
0.388235294,10.56383656,13.74778596,14.75631928
0.4,11.22165993,14.71464151,15.74316596
0.411764706,11.856607,15.73704741,16.77709758
0.423529412,12.68900394,16.71887672,17.85840102
0.435294118,13.40146365,17.70152346,18.92870776
0.447058824,14.20003446,18.77929461,20.07594648
0.458823529,14.88176544,19.92664294,21.21434002
0.470588235,15.6794188,21.00886902,22.46361488
0.482352941,16.59608044,22.11481621,23.75893022
0.494117647,17.49304161,23.32026915,24.98210903
0.505882353,18.58099631,24.68649599,26.49212525
0.517647059,19.44941491,25.97686693,27.77219856
0.529411765,20.33983036,27.27238294,29.07260025
0.541176471,21.34688391,28.57281543,30.38188399
0.552941176,22.28543442,29.94951492,31.80599381
0.564705882,23.30571891,31.24680745,33.28410333
0.576470588,24.25307207,32.56264205,34.77943594
0.588235294,25.26341439,33.97730446,36.29870191
0.6,26.22797557,35.28621751,37.6265432
0.611764706,27.27220304,36.6239009,39.14462036
0.623529412,28.26292954,37.88927071,40.54353822
0.635294118,29.33569511,39.24742324,41.9796831
0.647058824,30.35883496,40.60819327,43.37097185
0.658823529,31.43745478,42.03531463,44.89999532
0.670588235,32.49468885,43.46488893,46.37519044
0.682352941,33.63912713,44.92709612,47.79759256
0.694117647,34.71411753,46.35042468,49.34629045
0.705882353,35.94331764,47.84810529,50.85026281
0.717647059,37.19367579,49.40959257,52.3247913
0.729411765,38.39040471,50.99444901,54.04731368
0.741176471,39.64566388,52.70275934,55.55117364
0.752941176,41.10624177,54.39976366,57.54269912
0.764705882,42.3701641,56.19766312,59.24743928
0.776470588,43.71899534,58.01156604,61.05252543
0.788235294,45.3626085,59.92223591,62.8079117
0.8,46.81523298,61.90465264,64.94340762
0.811764706,48.2928277,63.94235671,67.08967885
0.823529412,49.77164007,66.07884691,69.22111013
0.835294118,51.39367297,68.24136557,71.51453527
0.847058824,52.98945337,70.40646877,73.92669527
0.858823529,54.63628561,72.71263467,76.24977837
0.870588235,56.42990172,74.94367767,78.70531539
0.882352941,58.19273561,77.16384376,81.17151482
0.894117647,60.16645606,79.95240863,84.13298592
0.905882353,62.44119042,82.69872093,87.0586068
0.917647059,64.72540779,85.80720532,90.3439151
0.929411765,67.1499695,89.1160243,94.15302764
0.941176471,69.87347689,92.75995436,97.82323848
0.952941176,72.64099766,96.44332312,101.974715
0.964705882,75.55821228,100.6064528,106.6009939
0.976470588,78.56805831,104.7271546,111.0583647
0.988235294,82.1787871,109.146943,115.8951355
1,88,117,124
