trial,attend_cat,attend_exemp,context,ignore_cat,ignore_exemp,isi_tr,iti_tr,match,psi_tr
0,0,2,0,1,1,3,1,0,2
1,1,2,0,1,0,1,2,0,3
2,0,1,0,0,1,1,3,1,3
3,0,1,1,0,0,1,1,0,3
4,0,2,1,1,0,1,2,0,2
5,1,2,1,0,2,3,1,0,2
6,1,2,1,1,0,3,2,1,3
7,0,2,1,0,1,3,3,1,1
8,0,1,0,0,0,1,3,1,3
9,1,1,1,1,1,1,2,0,2
10,1,1,0,1,1,3,1,0,2
11,0,0,1,0,2,2,1,1,1
12,0,1,1,1,1,3,3,0,2
13,1,0,0,0,0,3,3,1,1
14,1,1,0,1,2,1,1,0,1
15,1,0,1,0,0,1,3,1,3
16,0,0,0,1,0,2,1,0,2
17,0,2,0,0,2,2,2,0,1
18,0,0,0,1,2,3,2,1,1
19,1,0,0,0,2,2,2,1,3
20,1,1,1,0,1,2,3,1,1
21,1,0,1,1,2,2,1,0,1
22,1,2,0,0,1,2,3,1,2
23,0,0,1,1,2,2,2,1,3
